Id,Name,OrganizationFullName,OrganizationAddress,Lat,Lan
95084acb-95ec-1da5-6cd5-b183c4bee64a,"Тернейское отделение пгт. Терней краевого ГАУ Приморского края ""МФЦ""",Тернейское отделение,"п. Терней, ул. Ивановская, д. 2а",45.052705,136.609677
2e3e460f-c0ea-3f49-0001-2602532de2a2,"Тернейское отделение ТОСП пгт. Пластун краевого ГАУ Приморского края ""МФЦ""",,PlastynTOSP,44.758754,136.285123
4297668b-f783-2087-8445-b0a8bf7d4207,"Уссурийское отделение на ул. Некрасова краевого ГАУ Приморского края ""МФЦ""","Отделение МБУ г. Уссурийска Приморского края ""МФЦ"" на ул. Некрасова","692525, Приморский край, г. Уссурийск, ул. Некрасова, д. 91а",43.799812,131.950741
a89dc28f-d4f4-c4ca-884d-37b6bf3913ff,"Уссурийское отделение на ул. Некрасова ТОСП на ул. Пушкина краевого ГАУ Приморского края ""МФЦ""","Уссурийское отделение на ул. Некрасова ТОСП на ул. Пушкина краевого ГАУ Приморского края ""МФЦ""","Приморский край, г. Уссурийск, ул. Пушкина 4",43.797553,131.937536
6a8a6af9-7108-8de4-4fa3-ce78f478bc36,"Уссурийское отделение на ул. Тургенева краевого ГАУ Приморского края ""МФЦ""","Уссурийское отделение на ул. Тургенева краевого ГАУ Приморского края ""МФЦ""","Приморский край, г. Уссурийск, ул. Тургенева, д. 2",43.802497,131.979060
25fc7c2f-6e5a-07b5-664b-06ba0b93707d,"Уссурийское отделение на ул. Тургенева ТОСП на ул. Беляева краевого ГАУ Приморского края ""МФЦ""","Уссурийское отделение на ул. Тургенева ТОСП на ул. Беляева краевого ГАУ Приморского края ""МФЦ""","692524, Приморский край, г. Уссурийск, ул. Беляева 28",131.938566,43.836374
fe7d01a0-f4a5-0c37-7a32-53cea974d040,"Уссурийское отделение на ул. Тургенева ТОСП на ул. Владивостокское шоссе краевого ГАУ Приморского края ""МФЦ""","Уссурийское отделение на ул. Тургенева ТОСП на ул. Владивостокское шоссе краевого ГАУ Приморского края ""МФЦ""","692502, Приморский край, г. Уссурийск, ул. Владивостокское шоссе, д. 119",43.769542,131.977014
ee2a0530-eea8-14aa-8212-67f382ae0f3c,"Уссурийское отделение на ул. Тургенева ТОСП с. Новоникольск краевого ГАУ Приморского края ""МФЦ""","Уссурийское отделение на ул. Тургенева ТОСП с. Новоникольск краевого ГАУ Приморского края ""МФЦ""","692537, Приморский край,  с. Новоникольск ул. Советская, д. 70",43.849892,131.865868
f3b69f1c-14f1-cc44-89a2-7da87872b5db,"Фокинское отделение г. Фокино краевого ГАУ Приморского края ""МФЦ""","Фокинское отделение г. Фокино краевого ГАУ Приморского края ""МФЦ""","Фокино, ул. Карла Маркса, 9",42.970878,132.410874
1b471b1e-bc6e-5f9c-e3d9-779e38b19b6c,"Ханкайское отделение с.Камень-Рыболов краевого ГАУ Приморского края ""МФЦ""","Ханкайское отделение с.Камень-Рыболов краевого ГАУ Приморского края ""МФЦ""","с.Камень-Рыболов, ул. Кирова, д. 8",44.742112,132.046593
f0b1c8f1-0e22-0190-2edd-eac46d2cce63,"Хасанское отделение КГАУ  ""МФЦ Приморского края""","Хасанское отделение КГАУ  ""МФЦ Приморского края""","692701, Приморский край, Хасанский район, пгт Славянка, ул. Чкалова,10",42.872940,131.380179
4a1abd33-eb45-09d1-7a91-3d39119f5d17,"Хорольское отделение с. Хороль краевого ГАУ Приморского края ""МФЦ""","Хорольское отделение с. Хороль краевого ГАУ Приморского края ""МФЦ""","ул. Ленинская, д. 51, с. Хороль, Хорольского района 692254",44.425624,132.077575
28d06442-6b05-6fbe-a841-357bd0b0d401,Черниговское отделение с. Черниговка краевого ГАУ  Приморского края «МФЦ»,Черниговское отделение краевого государственного автономного учреждения Приморского края «Многофункциональный центр предоставления государственных и м,"с. Черниговка, ул. Ленинская, д. 58",44.341662,132.573142
57f98ae3-ad93-b602-d946-976ff5d45636,"Черниговское отделение ТОСП пгт. Сибирцево краевого ГАУ Приморского края ""МФЦ""",,"п. Сибирцево, ул. Красноармейская, д. 16а",44.202945,132.447157
e6a52341-acc4-78ca-524b-aab11ddf6bd8,"Чугуевское отделение с. Чугуевка краевого ГАУ Приморского края ""МФЦ""","Отделение МАУ Чугуевского муниципального района Приморского края ""МФЦ"" в с. Чугуевка","ул. 50 Лет Октября, 161",44.163575,133.857317
8696bcaa-8ba7-175b-4217-41174b8c8be6,"Яковлевское отделение с. Яковлевка краевого ГАУ Приморского края ""МФЦ""","Яковлевское отделение с. Яковлевка краевого ГАУ Приморского края ""МФЦ""",с. Яковлевка пер. Почтовый 1,44.424795,133.476498
